Project,CVE,File,Function,Patch commit,Ex-patch commit,Dataset Type,Bug start,Bug end,Patch start,Patch end
pcf2bdf,CVE-2022-23318,pcf2bdf.cc,main,https://github.com/ganaware/pcf2bdf/commit/aaf16808e4bb8d96eeab5f684df6550912a9e694,https://github.com/ganaware/pcf2bdf/commit/3555aab4f3cfbec199141122177750a4351b8e79,D,1.05,1.06,1.07,1.07
dwg2dxf,CVE-2023-36274,src/decode.c,decode_preR13_auxheader,https://github.com/LibreDWG/libredwg/commit/8651fa27dd2de731e706e2ba09f0d28e4e0dce33,https://github.com/LibreDWG/libredwg/commit/1b06579d21aa0c261cdde7329031a072b11de9f3,D,0.5,0.12.5,0.13,0.13.4
dwg2dxf,CVE-2020-15807,src/in_dxf.c,new_object,https://github.com/LibreDWG/libredwg/commit/acaecee4d83faa58cc896358987d8ac335546e50,https://github.com/LibreDWG/libredwg/commit/f955c0b8fde285a038befcd173bfb86a636890fc,D,0.5,0.10.1,0.11,0.13.4
openssl,CVE-2015-0207,ssl/d1_lib.c,dtls1_listen,https://github.com/openssl/openssl/commit/819418110b6fff4a7b96f01a5d68f71df3e3b736,https://github.com/openssl/openssl/commit/77c77f0a1b9f15b869ca3342186dfbedd1119d0e,,1.0.2,1.0.2,1.0.2a,1.0.2u
openssl,CVE-2015-0208,crypto/rsa/rsa_ameth.c,rsa_item_verify,https://github.com/openssl/openssl/commit/4b22cce3812052fe64fc3f6d58d8cc884e3cb834,https://github.com/openssl/openssl/commit/b717b083073b6cacc0a5e2397b661678aff7ae7f,,1.0.2,1.0.2,1.0.2a,1.0.2u
openssl,CVE-2015-0286,crypto/asn1/a_type.c,ASN1_TYPE_cmp,https://github.com/openssl/openssl/commit/c3c7fb07dc975dc3c9de0eddb7d8fd79fc9c67c1,https://github.com/openssl/openssl/commit/b19d8143212ae5fbc9cebfd51c01f802fabccd33,,1.0.2,1.0.2,1.0.2a,1.0.2u
openssl,CVE-2015-0287,crypto/asn1/tasn_dec.c,ASN1_item_ex_d2i,https://github.com/openssl/openssl/commit/b717b083073b6cacc0a5e2397b661678aff7ae7f,https://github.com/openssl/openssl/commit/819418110b6fff4a7b96f01a5d68f71df3e3b736,,1.0.2,1.0.2,1.0.2a,1.0.2u
openssl,CVE-2015-0290,ssl/s3_pkt.c,ssl3_write_bytes,https://github.com/openssl/openssl/commit/77c77f0a1b9f15b869ca3342186dfbedd1119d0e,https://github.com/openssl/openssl/commit/8b84495380098592ef7bb2fa9209ccb87803bf1d,,1.0.2,1.0.2,1.0.2a,1.0.2u
openssl,CVE-2015-1787,ssl/s3_srvr.c,ssl3_get_client_key_exchange,https://github.com/openssl/openssl/commit/b19d8143212ae5fbc9cebfd51c01f802fabccd33,https://github.com/openssl/openssl/commit/4b22cce3812052fe64fc3f6d58d8cc884e3cb834,,1.0.2,1.0.2,1.0.2a,1.0.2u
openssl,CVE-2015-1793,crypto/x509/x509_vfy.c,X509_verify_cert,https://github.com/openssl/openssl/commit/2aacec8f4a5ba1b365620a7b17fcce311ada93ad,https://github.com/openssl/openssl/commit/9cf315ef90d0cfeb8bb7a38873eea07a8f0dffec,,1.0.1n,1.0.1o,1.0.1p,1.0.1u
