Project,CVE,File,Function,Patch commit,Ex-patch commit,BIC,Affected
tcpdump,CVE-2017-13028,print-bootp.c,bootp_print,https://github.com/the-tcpdump-group/tcpdump/commit/29e5470e6ab84badbc31f4532bb7554a796d9d52,https://github.com/the-tcpdump-group/tcpdump/commit/a77ff09c46560bc895dea11dc9fe643486b056ac,,
tcpdump,CVE-2017-13031,print-frag6.c,frag6_print,https://github.com/the-tcpdump-group/tcpdump/commit/2d669862df7cd17f539129049f6fb70d17174125,https://github.com/the-tcpdump-group/tcpdump/commit/eb8c0d4636363c881503d9c091604fbf785725eb,,
tcpdump,CVE-2017-13032,print-radius.c,print_attr_string,https://github.com/the-tcpdump-group/tcpdump/commit/1bc78d795cd5cad5525498658f414a11ea0a7e9c,https://github.com/the-tcpdump-group/tcpdump/commit/0f1735981d7ee78af277fab4c29da83a3ce4da5e,,
tcpdump,CVE-2017-13033,print-vtp.c,vtp_print,https://github.com/the-tcpdump-group/tcpdump/commit/ae83295915d08a854de27a88efac5dd7353e6d3f,https://github.com/the-tcpdump-group/tcpdump/commit/e0d8ee571438c755ff988f70886f8c4f5e9a8434,,
tcpdump,CVE-2017-13034,print-pgm.c,pgm_print,https://github.com/the-tcpdump-group/tcpdump/commit/da6f1a677bfa4476abaeaf9b1afe1c4390f51b41,https://github.com/the-tcpdump-group/tcpdump/commit/fe5ad997c499d6a7b033f52dc7581a23959abfd1,,
tcpdump,CVE-2017-13035,print-isoclns.c,isis_print_id,https://github.com/the-tcpdump-group/tcpdump/commit/571a6f33f47e7a2394fa08f925e534135c29cf1e,https://github.com/the-tcpdump-group/tcpdump/commit/da6f1a677bfa4476abaeaf9b1afe1c4390f51b41,,
tcpdump,CVE-2017-13036,print-ospf6.c,ospf6_decode_v3,https://github.com/the-tcpdump-group/tcpdump/commit/88b2dac837e81cf56dce05e6e7b5989332c0092d,https://github.com/the-tcpdump-group/tcpdump/commit/571a6f33f47e7a2394fa08f925e534135c29cf1e,,
tcpdump,CVE-2017-13038,print-ppp.c,handle_mlppp,https://github.com/the-tcpdump-group/tcpdump/commit/7335163a6ef82d46ff18f3e6099a157747241629,https://github.com/the-tcpdump-group/tcpdump/commit/3cb7c9ac790752e2f06ae7d8f4da3c75c934584c,,
tcpdump,CVE-2017-13041,print-icmp6.c,icmp6_nodeinfo_print,https://github.com/the-tcpdump-group/tcpdump/commit/f4b9e24c7384d882a7f434cc7413925bf871d63e,https://github.com/the-tcpdump-group/tcpdump/commit/4c3aee4bb0294c232d56b6d34e9eeb74f630fe8c,,
tcpdump,CVE-2017-13042,print-hncp.c,dhcpv6_print,https://github.com/the-tcpdump-group/tcpdump/commit/39582c04cc5e34054b2936b423072fb9df2ff6ef,https://github.com/the-tcpdump-group/tcpdump/commit/f4b9e24c7384d882a7f434cc7413925bf871d63e,,
tcpdump,CVE-2017-13043,print-bgp.c,decode_multicast_vpn,https://github.com/the-tcpdump-group/tcpdump/commit/d515b4b4a300479cdf1a6e0d1bb95bc1f9fee514,https://github.com/the-tcpdump-group/tcpdump/commit/d10a0f980fe8f9407ab1ffbd612641433ebe175e,,
tcpdump,CVE-2017-13044,print-hncp.c,dhcpv4_print,https://github.com/the-tcpdump-group/tcpdump/commit/c2f6833dddecf2d5fb89c9c898eee9981da342ed,https://github.com/the-tcpdump-group/tcpdump/commit/39582c04cc5e34054b2936b423072fb9df2ff6ef,,
tcpdump,CVE-2017-13045,print-vqp.c,vqp_print,https://github.com/the-tcpdump-group/tcpdump/commit/3b36ec4e713dea9266db11975066c425aa669b6c,https://github.com/the-tcpdump-group/tcpdump/commit/c2f6833dddecf2d5fb89c9c898eee9981da342ed,,
tcpdump,CVE-2017-13046,print-bgp.c,bgp_attr_print,https://github.com/the-tcpdump-group/tcpdump/commit/d10a0f980fe8f9407ab1ffbd612641433ebe175e,https://github.com/the-tcpdump-group/tcpdump/commit/3b36ec4e713dea9266db11975066c425aa669b6c,,
tcpdump,CVE-2017-13047,print-isoclns.c,esis_print,https://github.com/the-tcpdump-group/tcpdump/commit/331530a4076c69bbd2e3214db6ccbe834fb75640,https://github.com/the-tcpdump-group/tcpdump/commit/3c8a2b0e91d8d8947e89384dacf6b54673083e71,,
tcpdump,CVE-2017-13048,print-rsvp.c,rsvp_obj_print,https://github.com/the-tcpdump-group/tcpdump/commit/3c8a2b0e91d8d8947e89384dacf6b54673083e71,https://github.com/the-tcpdump-group/tcpdump/commit/6283c99a5196cb97399ca68f8793db6fde00b6af,,
tcpdump,CVE-2017-13049,print-rx.c,ubik_print,https://github.com/the-tcpdump-group/tcpdump/commit/aa0858100096a3490edf93034a80e66a4d61aad5,https://github.com/the-tcpdump-group/tcpdump/commit/d515b4b4a300479cdf1a6e0d1bb95bc1f9fee514,,
tcpdump,CVE-2017-13050,print-rpki-rtr.c,rpki_rtr_pdu_print,https://github.com/the-tcpdump-group/tcpdump/commit/83c64fce3a5226b080e535f5131a8a318f30e79b,https://github.com/the-tcpdump-group/tcpdump/commit/289c672020280529fd382f3502efab7100d638ec,,
tcpdump,CVE-2017-13051,print-rsvp.c,rsvp_obj_print,https://github.com/the-tcpdump-group/tcpdump/commit/289c672020280529fd382f3502efab7100d638ec,https://github.com/the-tcpdump-group/tcpdump/commit/331530a4076c69bbd2e3214db6ccbe834fb75640,,
tcpdump,CVE-2017-13053,print-bgp.c,decode_rt_routing_info,https://github.com/the-tcpdump-group/tcpdump/commit/bd4e697ebd6c8457efa8f28f6831fc929b88a014,https://github.com/the-tcpdump-group/tcpdump/commit/e6511cc1a950fe1566b2236329d6b4bd0826cc7a,,
tcpdump,CVE-2017-13054,print-lldp.c,lldp_private_8023_print,https://github.com/the-tcpdump-group/tcpdump/commit/e6511cc1a950fe1566b2236329d6b4bd0826cc7a,https://github.com/the-tcpdump-group/tcpdump/commit/83c64fce3a5226b080e535f5131a8a318f30e79b,,
